uid,username,text,date
2,Unknown,"Інформація по Харкову від ІГ

Коротко що хотів би сказати :
1. На даний момент невідомо що краще кмб чи Харківські 
2. Нас поставили перед фактом, що договір підписаний з Харковом. З іншого боку договору ніхто не бачив, його взагалі може не існувати. Ми бачили тільки додаток.
3. За певними інсайдами будівництво може і не початись в наступні кілька тижнів.
4. Написання заяви в дбр на Смілого не зупинить дію договору, а в певній перспективі може заблокувати діяльність Фонду. Тому тут на ваш розсуд - ви маєте право писати таку заяву як окремий інвестор.
5. Я би на вашому і своєму місці не був надто радий , шо нас начебто забрали і завтра побудують. Це всього лиш фантазії. Нам треба триматись максимально близько до інших ЖК, ходити на мітинги, в тому числі завтра. Може бути що вже за пару днів ми будемо проситися щоб нас взяв кмб і просити про допомогу інші жк",1595433162
3,Unknown,"ЗВЕРНЕННЯ ДО ІНВЕСТОРІВ КОРПОРАЦІЇ «УКРБУД ДЕВЕЛОПМЕНТ»  StroyCity
http://stroycity.com.ua/uk/obrashhenie-u-investoram-zhk-kristal-haus-i-zhk-parkova-dolina/
",1595518268
4,Unknown,"ДЕВЕЛОПЕРСЬКА ГРУПА СТРОЙ СІТІ ПРИСТУПАЄ ДО ДОБУДОВИ 2-Х ОБ’ЄКТІВ “УКРБУДУ”
http://stroycity.com.ua/uk/developerskaya-gruppa-stroj-siti-pristupaet-k-dostrojke-2-h-obektov-ukrbuda/",1595518268
5,Unknown,"Просьба, когда вы получаете важную информацию от представителей Фонда, интересуйтесь их именем и должностью. А то будет, как охрана АТП говорит о сроках сдачи объекта.
Сегодня в Фонде был еще один наш инвестор. Со Смилым поговорить не удалось, его не было, но общался он с его замом - Дмитрием, он же юрист.
Со Строй-сити идут разговоры об отсрочке платежей. В противовес было сказано, мол, вон КГС уже до 15 хочет получить все выплаты, а у вас есть время в запасе.
Касательно смены застройщика в договоре. Будет просто уведомление, ничего переподписывать не нужно будет, потому что УБ Девелопмент где-то там фигурировал с оговоркой ""на момент підписання договору"". 
Берегите нервы.",1596905876
6,Unknown,"Из рубрики ""предупрежден - значит вооружен"".

Поступила информация, что по группам инвесторов гуляет фото одного недодокумента.

Почему ""недо""? - потому что это просто 2 листа А4, на которых изложена информация о том, какой СС плохой. Основной посыл таков: и денег у них нет, и в Харькове их не 
знают, и проблем у них куча, и никаких лицензий на проведение строительных работ у них нет. Если вдохнуть и выдохнуть, да еще и включить остатки аналитики, то понять можно следующее... 

Текст без адресата и подписи. Поди знай, кто и кому это писал, с какой целью и кто несет ответственность за ""правдивость"" данной информации. Девелоперская компания вообще не обязана иметь разрешения на строительство. Ну и самое классное, в тексте речь идет о 
каком-то ""Стой-Сити Кептил"". Именно кептИл, а не КепитАл, с которым у над подписан договор... Думаю это сделано умышленно, если вдруг соответствующие органы взяли бы автора этой писульки за жопу и предъявили претензии касательно недостоверной информации, то автор сразу бы съехал на ""так ведь речь совершенно о другой компании идет...""",1596905876
7,Unknown,"Информация от СтройСити

10.08.2020 - Подписание графика строительства между СтройСити и ФФС
15.08.2020 - Отправят всем информацию об изменениях
15-20.08.2020 - Будет пресс конференция по поводу смены застройщика

Дополнительно:

- До конца *месяца возобновиться работа сайта
- До конца *месяца возобновится работа веб-камер
- До конца *месяца откроют отдел продаж
- До конца *месяца откроют офис в Киеве на Воздвижинке

* - 30 Августа по заверению представителя СтройСити",1596905876
8,Unknown,"Каменщики сместились уже на понедельник-вторник следующей недели. 
До конца этой недели должны очистить арматуру, чтоб можно было дальше лить монолит и 
класть кладку. Что-то шаманят с кранами для второго дома что-то связано с посадочными местами
под кран, что-то привести в порядок, чтоб этот кран поставить.

Также вот-вот встреча ФФС - СС - ИГ на этой неделе не получится, возможно на следующей.",1596905876
9,Unknown,"Все подане нижче - за словами Юриста Тимошенка:
Щодо відтермінування платежів по розстрочках -  це питання вирішує Фонд, але за останнім даними Фонд обіцяв відтермінування у 3 міс. На зустрічі з Фондом і СС це буде одне з ключових питань від ІГ.

Щодо суду з КМР стосовно призначення землі: в це питання вже залучений СС. Також планується зустріч з нашими інвесторами щодо напрацювання спільної стратегії (швидше за все наступного тижня). Суди не будуть причиною припиняти будівництво. 

Щодо суду з Авіарухом (занадто високий 2ий будинок) - розробляються різні шляхи виходу з ситуації. Цілком можливо, що 2й будинок доведеться робити нижчим і додати ще одну секцію. З того, що зрозумів - інвесторам, які мають квартири на останньому поверсі запропонують заміну в тому ж будинку. 

Щодо темпів будівництва - у постачальників нема 120ї (здається) плити. Зараз будівельники працюють над оновлення штукатурки, виправляють недоліки кладки, фарбують фасад.  Мін вата - її зараз майже немає в Україні. Єгор Масленіков (керівник СС) поїхав в Харків, планують перекинути вату з Харкова на наш ЖК. Початок цегляної кладки - у вівторок. Майборода чинить перепони: написав лист у Київенерго, шо його відключили від е-постачання без його згоди. Другий будинок: на наступному тижні встановлять один кран і потім ще один через тиждень. На запитання чи є проблема знайти достатньо будівельників- сказав, що такої проблеми немає.

Щодо технічної документації - Укрбуд повинен передати технічну документацію Фонду згідно закону, а Фонд передає в СС. Якщо на 91 день не виконуються графіки, Фонд має право забрати технічну документацію (проект) в одного забудовника і передати іншому.

Графіки - кінцева дата залишається така як і була в графіках, які нам надали. Перша половина місяця від дати підписання договору між Замовником і Забудовником  - підготовча робота. По Парковій закінчили підготовчі роботи закінчені і СС переходять до фактичних робіт по об'єкту.",1596905876
10,Unknown,"Двойные продажи:

1. ФФС Полностью находится в рамках законодательства об инвестиционной деятельности
2. Для того, чтобы было открыто ФФС, застройщик должен получить все необходимые разрешительные документы на строительство, а следовательно квартиры в теории не могут продаваться без получения разрешительных документов.
3. Управляющий ФФС является финансовым учреждением и находится под контролем Национальной комиссии по ценным бумагам и фондовому рынку, что дает больше гарантий по их контролю - могут лишить лицензии  

Поэтому вывод - воровать деньги могут, но двойные продажи это сложнее так как много регуляторных и органов, и процедур....
И опять таки в теории, если допустим мою квартиру опять продадут в 20м году...то мошенникам реально надо внести стоимость квартиры  на счета ффс ...а не фиктивно ...а это не выгодно ....и опять таки...потом если что-то не соблюдено то легко такая сделка отматывается в суде если будут признаки фиктивности.",1596905876
11,Unknown,https://censor.net.ua/news/3212928/ukrbud_podal_v_sud_na_kompanii_kotorye_dostraivayut_jile_ego_obmanutym_investoram,1597090283
12,Unknown,"По состоянию на 8:00 подают раствор, сверху что-то стучат, кран крутится - всё движется...
Дальше по словам прорабов.
Обороты набирают - есть распоряжение забирать с рынка свободных строителей для 1го и 2го дома. Есть много ещё сложностей с договорами, поставщиками - бюрократические проблемы, но они постепенно решаются.
То есть нельзя так просто за месяц все запустить на максимум, но типа все заинтересованы и делают все возможное.
По первому дому - наращивают скорость по мере возможности, набирают строителей, станок который гнет арматуру на первом доме - отремонтировали старый. Типа все есть, просто пока ещё не вышли на максимум своих возможностей.
По второму дому - вчера завезли опалубку какой-то фирмы (не запомнил, но типа - хорошая). Завезли новый станок на второй дом, чтоб гнуть арматуру. По идее в течении недели-двух начнут работы по второму дому. Для начала, достаточно одного крана, потом будут доставлять ещё один.",1599651620
13,Unknown,"ЖК Голосіївська Долина - продажі призупинено з джерела інформації https://lun.ua/uk/%D0%B6%D0%BA-%D0%B3%D0%BE%D0%BB%D0%BE%D1%81%D1%96%D1%97%D0%B2%D1%81%D1%8C%D0%BA%D0%B0-%D0%B4%D0%BE%D0%BB%D0%B8%D0%BD%D0%B0-%D0%BA%D0%B8%D1%97%D0%B2",1676664356